customer_id,account_balance,last_updated
C0001,293729.87,2025-05-24 09:46:29
C0002,150735.15,2025-05-24 09:46:29
C0003,170156.21,2025-05-24 09:46:29
C0004,311383.96,2025-05-24 09:46:29
C0005,60320.75,2025-05-24 09:46:29
C0006,14846.77,2025-05-24 09:46:29
C0007,291736.9,2025-05-24 09:46:29
C0008,1669.73,2025-05-24 09:46:29
C0009,118054.18,2025-05-24 09:46:29
C0010,31868.55,2025-05-24 09:46:29
C0011,498317.41,2025-05-24 09:46:29
C0012,180349.01,2025-05-24 09:46:29
C0013,279179.84,2025-05-24 09:46:29
C0014,272657.53,2025-05-24 09:46:29
C0015,373720.33,2025-05-24 09:46:29
C0016,208294.35,2025-05-24 09:46:29
C0017,345239.48,2025-05-24 09:46:29
C0018,24724.37,2025-05-24 09:46:29
C0019,253086.31,2025-05-24 09:46:29
C0020,139706.97,2025-05-24 09:46:29
C0021,185053.68,2025-05-24 09:46:29
C0022,30066.4,2025-05-24 09:46:29
C0023,447170.74,2025-05-24 09:46:29
C0024,57757.08,2025-05-24 09:46:29
C0025,327768.25,2025-05-24 09:46:29
C0026,17612.22,2025-05-24 09:46:29
C0027,342555.75,2025-05-24 09:46:29
C0028,133669.64,2025-05-24 09:46:29
C0029,455226.58,2025-05-24 09:46:29
C0030,433787.3,2025-05-24 09:46:29
C0031,197929.18,2025-05-24 09:46:29
C0032,155480.37,2025-05-24 09:46:29
C0033,288607.98,2025-05-24 09:46:29
C0034,206241.86,2025-05-24 09:46:29
C0035,312048.13,2025-05-24 09:46:29
C0036,125374.16,2025-05-24 09:46:29
C0037,70103.57,2025-05-24 09:46:29
C0038,394378.75,2025-05-24 09:46:29
C0039,177997.72,2025-05-24 09:46:29
C0040,431204.59,2025-05-24 09:46:29
C0041,403292.2,2025-05-24 09:46:29
C0042,31993.72,2025-05-24 09:46:29
C0043,385637.4,2025-05-24 09:46:29
C0044,222030.02,2025-05-24 09:46:29
C0045,222211.06,2025-05-24 09:46:29
C0046,294020.42,2025-05-24 09:46:29
C0047,53654.26,2025-05-24 09:46:29
C0048,328074.83,2025-05-24 09:46:29
C0049,420145.7,2025-05-24 09:46:29
C0050,395764.56,2025-05-24 09:46:29
C0051,173260.96,2025-05-24 09:46:29
C0052,195238.64,2025-05-24 09:46:29
C0053,402963.0,2025-05-24 09:46:29
C0054,18917.8,2025-05-24 09:46:29
C0055,59961.54,2025-05-24 09:46:29
C0056,62556.18,2025-05-24 09:46:29
C0057,294368.18,2025-05-24 09:46:29
C0058,45190.42,2025-05-24 09:46:29
C0059,441140.87,2025-05-24 09:46:29
C0060,192239.13,2025-05-24 09:46:29
C0061,381845.67,2025-05-24 09:46:29
C0062,290028.54,2025-05-24 09:46:29
C0063,209572.87,2025-05-24 09:46:29
C0064,140145.46,2025-05-24 09:46:29
C0065,346405.32,2025-05-24 09:46:29
C0066,116862.59,2025-05-24 09:46:29
C0067,60868.52,2025-05-24 09:46:29
C0068,460904.51,2025-05-24 09:46:29
C0069,348467.9,2025-05-24 09:46:29
C0070,407476.01,2025-05-24 09:46:29
C0071,312118.71,2025-05-24 09:46:29
C0072,3395.03,2025-05-24 09:46:29
C0073,125221.22,2025-05-24 09:46:29
C0074,46917.61,2025-05-24 09:46:29
C0075,142224.75,2025-05-24 09:46:29
C0076,260052.65,2025-05-24 09:46:29
C0077,494699.91,2025-05-24 09:46:29
C0078,384430.35,2025-05-24 09:46:29
C0079,297398.16,2025-05-24 09:46:29
C0080,167192.81,2025-05-24 09:46:29
C0081,200877.29,2025-05-24 09:46:29
C0082,107540.65,2025-05-24 09:46:29
C0083,13773.94,2025-05-24 09:46:29
C0084,254641.62,2025-05-24 09:46:29
C0085,15939.4,2025-05-24 09:46:29
C0086,21883.17,2025-05-24 09:46:29
C0087,390868.9,2025-05-24 09:46:29
C0088,266423.09,2025-05-24 09:46:29
C0089,175297.12,2025-05-24 09:46:29
C0090,466370.16,2025-05-24 09:46:29
C0091,56194.9,2025-05-24 09:46:29
C0092,296372.16,2025-05-24 09:46:29
C0093,465909.81,2025-05-24 09:46:29
C0094,61991.5,2025-05-24 09:46:29
C0095,173905.08,2025-05-24 09:46:29
C0096,289287.67,2025-05-24 09:46:29
C0097,129599.82,2025-05-24 09:46:29
C0098,76577.03,2025-05-24 09:46:29
C0099,38627.03,2025-05-24 09:46:29
C0100,218110.69,2025-05-24 09:46:29
C0101,341916.29,2025-05-24 09:46:29
C0102,446110.04,2025-05-24 09:46:29
C0103,350926.68,2025-05-24 09:46:29
C0104,55238.78,2025-05-24 09:46:29
C0105,270828.26,2025-05-24 09:46:29
C0106,473506.61,2025-05-24 09:46:29
C0107,134031.07,2025-05-24 09:46:29
C0108,145023.18,2025-05-24 09:46:29
C0109,294219.11,2025-05-24 09:46:29
C0110,390939.51,2025-05-24 09:46:29
C0111,497040.6,2025-05-24 09:46:29
C0112,296243.72,2025-05-24 09:46:29
C0113,374136.09,2025-05-24 09:46:29
C0114,62583.82,2025-05-24 09:46:29
C0115,328197.16,2025-05-24 09:46:29
C0116,53197.05,2025-05-24 09:46:29
C0117,11317.52,2025-05-24 09:46:29
C0118,467327.13,2025-05-24 09:46:29
C0119,48597.43,2025-05-24 09:46:29
C0120,36798.05,2025-05-24 09:46:29
C0121,228279.43,2025-05-24 09:46:29
C0122,395027.1,2025-05-24 09:46:29
C0123,182899.3,2025-05-24 09:46:29
C0124,229476.05,2025-05-24 09:46:29
C0125,345672.67,2025-05-24 09:46:29
C0126,431769.44,2025-05-24 09:46:29
C0127,450804.95,2025-05-24 09:46:29
C0128,174478.9,2025-05-24 09:46:29
C0129,262278.5,2025-05-24 09:46:29
C0130,53035.82,2025-05-24 09:46:29
C0131,479403.02,2025-05-24 09:46:29
C0132,237914.85,2025-05-24 09:46:29
C0133,374537.21,2025-05-24 09:46:29
C0134,302864.83,2025-05-24 09:46:29
C0135,216729.05,2025-05-24 09:46:29
C0136,382344.4,2025-05-24 09:46:29
C0137,198662.96,2025-05-24 09:46:29
C0138,169655.57,2025-05-24 09:46:29
C0139,250936.63,2025-05-24 09:46:29
C0140,385842.02,2025-05-24 09:46:29
C0141,334433.34,2025-05-24 09:46:29
C0142,41828.88,2025-05-24 09:46:29
C0143,128521.43,2025-05-24 09:46:29
C0144,467018.06,2025-05-24 09:46:29
C0145,114166.16,2025-05-24 09:46:29
C0146,479706.41,2025-05-24 09:46:29
C0147,18814.87,2025-05-24 09:46:29
C0148,245514.98,2025-05-24 09:46:29
C0149,400322.59,2025-05-24 09:46:29
C0150,107647.65,2025-05-24 09:46:29
C0151,417762.31,2025-05-24 09:46:29
C0152,150338.08,2025-05-24 09:46:29
C0153,437255.02,2025-05-24 09:46:29
C0154,127822.3,2025-05-24 09:46:29
C0155,192721.03,2025-05-24 09:46:29
C0156,237859.44,2025-05-24 09:46:29
C0157,457105.38,2025-05-24 09:46:29
C0158,256045.37,2025-05-24 09:46:29
C0159,423341.84,2025-05-24 09:46:29
C0160,9870.89,2025-05-24 09:46:29
C0161,19923.82,2025-05-24 09:46:29
C0162,69735.99,2025-05-24 09:46:29
C0163,131564.71,2025-05-24 09:46:29
C0164,158181.37,2025-05-24 09:46:29
C0165,388562.07,2025-05-24 09:46:29
C0166,234417.59,2025-05-24 09:46:29
C0167,42554.47,2025-05-24 09:46:29
C0168,266003.75,2025-05-24 09:46:29
C0169,108675.23,2025-05-24 09:46:29
C0170,457073.57,2025-05-24 09:46:29
C0171,171354.12,2025-05-24 09:46:29
C0172,91769.82,2025-05-24 09:46:29
C0173,357740.22,2025-05-24 09:46:29
C0174,446664.84,2025-05-24 09:46:29
C0175,353745.83,2025-05-24 09:46:29
C0176,158424.28,2025-05-24 09:46:29
C0177,419919.44,2025-05-24 09:46:29
C0178,147879.04,2025-05-24 09:46:29
C0179,216193.7,2025-05-24 09:46:29
C0180,314506.85,2025-05-24 09:46:29
C0181,95706.2,2025-05-24 09:46:29
C0182,417100.41,2025-05-24 09:46:29
C0183,325029.45,2025-05-24 09:46:29
C0184,333995.71,2025-05-24 09:46:29
C0185,252913.07,2025-05-24 09:46:29
C0186,456395.41,2025-05-24 09:46:29
C0187,348086.14,2025-05-24 09:46:29
C0188,11537.48,2025-05-24 09:46:29
C0189,455365.96,2025-05-24 09:46:29
C0190,311439.87,2025-05-24 09:46:29
C0191,175517.09,2025-05-24 09:46:29
C0192,230194.59,2025-05-24 09:46:29
C0193,2647.41,2025-05-24 09:46:29
C0194,332405.8,2025-05-24 09:46:29
C0195,310110.47,2025-05-24 09:46:29
C0196,400584.24,2025-05-24 09:46:29
C0197,251036.46,2025-05-24 09:46:29
C0198,369174.64,2025-05-24 09:46:29
C0199,417005.94,2025-05-24 09:46:29
C0200,3001.59,2025-05-24 09:46:29
C0201,386504.4,2025-05-24 09:46:29
C0202,262117.5,2025-05-24 09:46:29
C0203,148911.06,2025-05-24 09:46:29
