Loan_ID,Customer_ID,Account_ID,Branch,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Loan_Status
1,1559,2090,Perez Ltd Branch,Personal,259805,12.43,60,2017-07-03,2022-06-07,Active
2,1028,2575,Harris-Marshall Branch,Business,3589336,6.75,24,2017-06-14,2019-06-04,Active
3,1164,2433,"Taylor, David and Brown Branch",Auto,4621300,9.86,240,2021-08-10,2041-04-27,Closed
4,1100,2368,Robertson and Sons Branch,Home,2380953,7.74,120,2016-02-23,2026-01-01,Approved
5,1081,2566,"Parrish, Hall and Adams Branch",Home,2268961,12.96,240,2021-01-05,2040-09-22,Approved
6,1082,2239,Evans-Mercado Branch,Home,3083614,11.12,24,2015-07-07,2017-06-26,Active
7,1215,2274,Watson Group Branch,Personal,3238729,8.72,120,2016-10-28,2026-09-06,Closed
8,1277,2571,Garcia Inc Branch,Personal,1485615,10.77,60,2016-10-31,2021-10-05,Defaulted
9,1411,2275,"Edwards, Dunlap and Fernandez Branch",Auto,2770280,13.24,12,2017-07-27,2018-07-22,Approved
10,1470,2147,Delgado Ltd Branch,Personal,1819852,13.81,120,2017-05-20,2027-03-29,Defaulted
11,1371,2225,Wilson PLC Branch,Home,1221304,8.47,84,2023-05-18,2030-04-11,Defaulted
12,1433,2066,Lyons-Hart Branch,Auto,4324216,10.45,12,2016-03-25,2017-03-20,Active
13,1118,2550,"Lopez, Tucker and Collins Branch",Education,3251254,11.27,240,2020-12-07,2040-08-24,Closed
14,1270,2513,Garcia Group Branch,Home,2903598,7.39,180,2016-10-09,2031-07-23,Defaulted
15,1383,2166,Black Group Branch,Auto,4308742,13.8,84,2022-03-02,2029-01-24,Active
16,1372,2315,Chambers-Marquez Branch,Business,4498929,13.85,120,2020-06-24,2030-05-03,Approved
17,1546,2129,Fleming-Washington Branch,Auto,535911,8.43,24,2015-12-17,2017-12-06,Defaulted
18,1553,2206,"Powers, Thomas and Webb Branch",Auto,4036957,14.07,36,2017-12-21,2020-12-05,Defaulted
19,1254,2231,Martin and Sons Branch,Home,3396989,14.46,120,2019-11-30,2029-10-08,Defaulted
20,1073,2061,"Cruz, Jones and Sweeney Branch",Personal,2886067,6.67,60,2021-08-07,2026-07-12,Active
21,1498,2220,Moore-Schaefer Branch,Auto,615394,13.74,120,2015-10-18,2025-08-26,Active
22,1195,2097,Bruce-Kidd Branch,Business,1159912,12.29,240,2017-09-22,2037-06-09,Defaulted
23,1063,2413,"King, Cain and Brown Branch",Personal,3665919,9.33,180,2020-03-27,2035-01-08,Approved
24,1433,2188,"Choi, Hebert and Bush Branch",Home,966615,8.49,60,2021-01-05,2025-12-10,Defaulted
25,1554,2016,Taylor PLC Branch,Home,3930805,8.5,24,2019-12-21,2021-12-10,Approved
26,1061,2169,"Acosta, Murphy and Rojas Branch",Personal,2032894,7.83,240,2020-05-25,2040-02-10,Active
27,1434,2570,Hess-Miller Branch,Education,68080,14.38,84,2023-10-17,2030-09-10,Defaulted
28,1059,2052,Ramsey-Carr Branch,Education,1348529,8.02,60,2015-08-28,2020-08-01,Approved
29,1071,2070,Mcgee and Sons Branch,Business,4049591,10.52,36,2015-08-21,2018-08-05,Approved
30,1430,2598,Johnson Group Branch,Auto,3437114,7.46,60,2021-06-29,2026-06-03,Approved
31,1272,2406,"Bell, Parker and Owen Branch",Business,4435419,9.03,84,2017-04-16,2024-03-10,Closed
32,1076,2551,Warner-Shelton Branch,Auto,2566557,10.16,24,2015-02-08,2017-01-28,Defaulted
33,1292,2162,Richards-Morgan Branch,Auto,4293668,8.62,120,2015-10-09,2025-08-17,Active
34,1138,2271,Mcclain Inc Branch,Education,4606842,12.13,12,2022-06-28,2023-06-23,Closed
35,1352,2209,"Ryan, Williams and Bowen Branch",Personal,947882,12.44,36,2018-01-20,2021-01-04,Closed
36,1046,2004,"Wheeler, Henderson and Weeks Branch",Home,4289678,10.41,12,2016-01-14,2017-01-08,Defaulted
37,1575,2010,Chapman PLC Branch,Home,1147394,11.6,84,2016-10-23,2023-09-17,Defaulted
38,1597,2566,Richards-Morgan Branch,Personal,681191,14.06,36,2021-02-12,2024-01-28,Approved
39,1216,2256,Smith PLC Branch,Auto,3655312,7.52,84,2019-02-02,2025-12-27,Approved
40,1167,2182,Murray LLC Branch,Personal,3016871,12.74,180,2021-12-17,2036-09-29,Active
41,1274,2164,Martin-Hardy Branch,Education,257923,7.93,120,2023-10-10,2033-08-18,Defaulted
42,1359,2313,Jarvis-Williams Branch,Personal,3258992,13.48,240,2017-06-30,2037-03-17,Active
43,1072,2286,Moore-Schaefer Branch,Auto,1920018,6.69,60,2019-06-21,2024-05-25,Closed
44,1183,2595,Miller and Sons Branch,Home,4323204,9.7,120,2015-04-24,2025-03-02,Approved
45,1524,2119,"Thompson, Cooper and King Branch",Home,370924,7.37,180,2018-11-16,2033-08-29,Closed
46,1533,2552,Crawford-Torres Branch,Education,4886771,8.02,12,2022-12-13,2023-12-08,Defaulted
47,1308,2520,"Stafford, Oneal and Williams Branch",Auto,3105311,9.95,120,2021-12-27,2031-11-05,Closed
48,1431,2389,"Jackson, Sanders and Webb Branch",Home,3475848,9.11,84,2021-03-20,2028-02-12,Active
49,1441,2594,"Ryan, Williams and Bowen Branch",Auto,4824000,8.91,12,2018-05-29,2019-05-24,Closed
50,1174,2087,Mullen-Obrien Branch,Business,2753222,10.22,240,2022-07-30,2042-04-16,Active
51,1231,2204,Anderson-Dunn Branch,Home,4373924,11.81,120,2016-01-18,2025-11-26,Active
52,1425,2590,Ramirez-Cochran Branch,Auto,254895,6.87,240,2021-11-08,2041-07-26,Approved
53,1436,2225,"Ramirez, Jackson and Flores Branch",Auto,3271044,10.46,60,2016-08-27,2021-08-01,Approved
54,1476,2544,Flores Ltd Branch,Auto,4394944,10.22,60,2016-05-12,2021-04-16,Defaulted
55,1163,2487,"Morse, Foley and Johnson Branch",Business,2711688,14.1,240,2021-11-14,2041-08-01,Defaulted
56,1282,2451,"Bell, Parker and Owen Branch",Education,2224256,12.51,84,2023-08-03,2030-06-27,Defaulted
57,1155,2237,Chavez and Sons Branch,Personal,2446861,8.38,120,2018-08-02,2028-06-10,Approved
