txn_id,customer_id,txn_type,amount,txn_time,status
T00001,C0363,deposit,44442.71,2025-02-14 06:26:00,success
T00002,C0432,deposit,15737.59,2025-03-27 07:21:21,success
T00003,C0084,withdrawal,82150.7,2024-07-31 18:28:06,success
T00004,C0067,withdrawal,20313.86,2024-11-11 12:18:47,success
T00005,C0485,withdrawal,74536.08,2025-04-15 10:52:59,success
T00006,C0093,transfer,85463.28,2024-12-05 02:21:45,success
T00007,C0443,withdrawal,70966.85,2024-09-13 14:19:19,success
T00008,C0080,withdrawal,80748.98,2025-02-19 14:58:58,success
T00009,C0166,withdrawal,97149.66,2024-05-26 23:55:25,success
T00010,C0139,online fraud,5835.24,2025-03-17 03:09:38,failed
T00011,C0385,transfer,8236.17,2025-03-17 17:45:49,success
T00012,C0260,deposit,85186.02,2024-11-14 08:48:09,success
T00013,C0178,deposit,9077.95,2024-06-24 00:45:42,success
T00014,C0413,online fraud,96817.53,2024-11-19 17:08:50,failed
T00015,C0024,purchase,57134.09,2024-11-13 17:12:22,success
T00016,C0025,deposit,39600.97,2024-07-23 14:33:22,success
T00017,C0049,deposit,97618.26,2024-11-29 21:33:43,success
T00018,C0316,online fraud,210.42,2024-10-09 12:24:21,failed
T00019,C0432,deposit,63086.22,2025-03-30 23:41:01,success
T00020,C0493,deposit,66658.1,2025-01-17 00:32:06,failed
T00021,C0387,withdrawal,60369.76,2024-12-04 16:38:17,success
T00022,C0449,deposit,67009.77,2024-06-23 21:08:48,success
T00023,C0346,deposit,16848.32,2025-04-23 15:38:20,success
T00024,C0317,deposit,78793.3,2024-05-31 03:28:53,success
T00025,C0460,deposit,54122.88,2025-04-19 09:47:19,success
T00026,C0426,deposit,96123.45,2024-09-13 00:55:12,success
T00027,C0492,deposit,42541.1,2025-05-07 07:43:48,success
T00028,C0465,withdrawal,52412.8,2024-10-29 06:55:29,success
T00029,C0168,transfer,76154.38,2025-03-14 22:53:49,success
T00030,C0119,purchase,6757.04,2024-08-09 21:51:17,success
T00031,C0366,deposit,80928.52,2025-01-30 06:52:09,success
T00032,C0029,deposit,27403.91,2024-07-25 23:26:09,failed
T00033,C0240,withdrawal,94570.35,2024-09-23 05:50:41,success
T00034,C0465,withdrawal,67216.49,2024-12-18 18:21:52,failed
T00035,C0366,transfer,94682.98,2025-01-17 06:17:39,success
T00036,C0482,deposit,36852.99,2024-10-12 19:21:46,success
T00037,C0466,deposit,92974.53,2025-01-19 22:06:52,success
T00038,C0454,deposit,50523.05,2024-05-31 21:22:56,success
T00039,C0213,deposit,32748.53,2024-06-03 20:09:48,success
T00040,C0380,deposit,21137.09,2025-02-09 08:36:16,success
T00041,C0085,withdrawal,90320.14,2024-07-21 14:35:35,success
T00042,C0056,deposit,20588.4,2024-12-01 21:58:18,success
T00043,C0122,deposit,71821.69,2025-01-11 23:45:00,success
T00044,C0190,purchase,27366.04,2025-03-22 05:54:30,failed
T00045,C0379,withdrawal,48906.68,2024-12-14 18:39:49,success
T00046,C0154,withdrawal,99528.21,2024-05-26 01:53:40,failed
T00047,C0156,purchase,59566.84,2025-05-05 22:16:39,success
T00048,C0011,purchase,26127.3,2025-05-10 10:17:16,success
T00049,C0285,withdrawal,99278.16,2024-12-14 20:02:52,success
T00050,C0274,deposit,37744.44,2024-08-27 11:25:50,success
T00051,C0062,deposit,27810.99,2024-06-03 18:20:33,success
T00052,C0058,withdrawal,93158.77,2024-09-28 19:15:25,failed
T00053,C0347,withdrawal,20644.61,2025-04-06 10:26:24,success
